Arrow Name              	Arrow Status            	Arrow Source            	Arrow Source Type       	Arrow Dest.             	Arrow Dest. Type        	
                        	                        	                        	                        	Рассказ материала       	Mechanism               	
                        	                        	                        	                        	студентам               	                        	

                        	                        	                        	                        	Выдача  листа с тестом  	Mechanism               	

                        	                        	                        	                        	Выдача методички        	Mechanism               	

                        	                        	                        	                        	Проверка  лабораторной  	Mechanism               	
                        	                        	                        	                        	работы                  	                        	

                        	                        	                        	                        	Проверка теста          	Mechanism               	

Проинформированные      	WORKING                 	Рассказ о доступных     	Output                  	Прием и проверка        	Input                   	
абитуриенты             	                        	направлениях            	                        	документов              	                        	

Работа требующая        	WORKING                 	Проверка  лабораторной  	Output                  	Исправление ошибок      	Input                   	
исправлений             	                        	работы                  	                        	                        	                        	

Рабочая программа       	WORKING                 	{ Border }              	Control                 	Учет посещаемости       	Control                 	
                        	                        	                        	                        	студентов в журнале     	                        	

                        	                        	                        	                        	Выдача  листа с тестом  	Control                 	

                        	                        	                        	                        	Выдача методички        	Control                 	

                        	                        	                        	                        	Выполнение теста        	Control                 	

                        	                        	                        	                        	Выполнение  лабораторной	Control                 	
                        	                        	                        	                        	работы                  	                        	

                        	                        	                        	                        	Проверка  лабораторной  	Control                 	
                        	                        	                        	                        	работы                  	                        	

                        	                        	                        	                        	Проверка теста          	Control                 	

                        	                        	                        	                        	Исправление ошибок      	Control                 	

Сдавшие экзамены        	WORKING                 	Проведение экзамена     	Output                  	Выпуск и трудоустройство	Input                   	
студенты                	                        	                        	                        	                        	                        	

Студенты                	WORKING                 	Формирование списка     	Output                  	Проведение экзамена     	Input                   	
                        	                        	поступивших             	                        	                        	                        	

                        	                        	                        	                        	Учет посещаемости       	Input                   	
                        	                        	                        	                        	студентов в журнале     	                        	

                        	                        	                        	                        	Выполнение теста        	Mechanism               	

                        	                        	                        	                        	Выполнение  лабораторной	Mechanism               	
                        	                        	                        	                        	работы                  	                        	

                        	                        	                        	                        	Исправление ошибок      	Mechanism               	

Студенты посещающие     	WORKING                 	Учет посещаемости       	Output                  	Рассказ материала       	Input                   	
лекции                  	                        	студентов в журнале     	                        	студентам               	                        	

Студенты с методичкой   	WORKING                 	Выдача методички        	Output                  	Выполнение  лабораторной	Input                   	
                        	                        	                        	                        	работы                  	                        	

Студенты с тестом       	WORKING                 	Выдача  листа с тестом  	Output                  	Выполнение теста        	Input                   	

Студенты сдавшие задания	WORKING                 	Исправление ошибок      	Output                  	Проведение экзамена     	Input                   	

                        	                        	Проверка теста          	Output                  	                        	                        	

ФГОС                    	WORKING                 	{ Border }              	Control                 	Выпуск и трудоустройство	Control                 	

                        	                        	                        	                        	Формирование списка     	Control                 	
                        	                        	                        	                        	поступивших             	                        	

                        	                        	                        	                        	Проведение экзамена     	Control                 	

                        	                        	                        	                        	Рассказ о доступных     	Control                 	
                        	                        	                        	                        	направлениях            	                        	

                        	                        	                        	                        	Прием и проверка        	Control                 	
                        	                        	                        	                        	документов              	                        	

                        	                        	                        	                        	Заведение  личного дела 	Control                 	

                        	                        	                        	                        	Возврат документов      	Control                 	

                        	                        	                        	                        	Подписание личного  дела	Control                 	
                        	                        	                        	                        	деканатом               	                        	

                        	                        	                        	                        	Подготовка материалов   	Control                 	
                        	                        	                        	                        	для лекции              	                        	

                        	                        	                        	                        	Учет посещаемости       	Control                 	
                        	                        	                        	                        	студентов в журнале     	                        	

                        	                        	                        	                        	Выдача  листа с тестом  	Control                 	

                        	                        	                        	                        	Выдача методички        	Control                 	

Экстерны                	WORKING                 	Проведение экзамена     	Output                  	Выпуск и трудоустройство	Input                   	

