Arrow Name              	Arrow Status            	Arrow Source            	Arrow Source Type       	Arrow Dest.             	Arrow Dest. Type        	
Ответивший студент      	WORKING                 	Оценка ответа           	Output                  	Правильно ли ответил    	Input                   	

Отчет                   	WORKING                 	Выполнение  лабораторной	Output                  	Размещение отчета на    	Input                   	
                        	                        	работы                  	                        	сайте                   	                        	

Отчет на сайте          	WORKING                 	Размещение отчета на    	Output                  	Проверка  лабораторной  	Input                   	
                        	                        	сайте                   	                        	работы                  	                        	

Отчисленные студенты    	WORKING                 	                        	                        	{ Border }              	Output                  	

Оценки                  	WORKING                 	Проставление  оценок в  	Output                  	                        	                        	
                        	                        	ведомость               	                        	                        	                        	

Переводготовившийся     	WORKING                 	Переподготовка студента 	Output                  	Повторный ответ         	Input                   	
студент                 	                        	                        	                        	                        	                        	

Подготовленные          	WORKING                 	Подготовка              	Output                  	Установка даты и        	Input                   	
экзаменационные билеты  	                        	экзаменационных  билетов	                        	времени проведения      	                        	
                        	                        	преподавателем          	                        	                        	                        	

Подготовленный экзамен  	WORKING                 	Начало экзамена         	Output                  	Набрал ли студент       	Input                   	
                        	                        	                        	                        	достаточно баллов       	                        	

Практика                	WORKING                 	Ответ экзамена          	Output                  	Проверка  письменной    	Input                   	
                        	                        	                        	                        	части                   	                        	

Преподавательский состав	WORKING                 	{ Border }              	Mechanism               	Выпуск и трудоустройство	Mechanism               	

                        	                        	                        	                        	Формирование списка     	Mechanism               	
                        	                        	                        	                        	поступивших  и          	                        	
                        	                        	                        	                        	отображение его на сайте	                        	

                        	                        	                        	                        	Подготовка материалов   	Mechanism               	
                        	                        	                        	                        	для лекции              	                        	

                        	                        	                        	                        	Учет посещаемости       	Mechanism               	
                        	                        	                        	                        	студентов в журнале     	                        	

                        	                        	                        	                        	Рассказ материала       	Mechanism               	
                        	                        	                        	                        	студентам               	                        	

                        	                        	                        	                        	Запись лекций на видео  	Mechanism               	

                        	                        	                        	                        	Открытие  теста на сайте	Mechanism               	

                        	                        	                        	                        	Размещение методички на 	Mechanism               	
                        	                        	                        	                        	сайте                   	                        	

                        	                        	                        	                        	Проверка  лабораторной  	Mechanism               	
                        	                        	                        	                        	работы                  	                        	

Проверенная практика    	WORKING                 	Проверка  письменной    	Output                  	Оценка ответа           	Input                   	
                        	                        	части                   	                        	                        	                        	

Проинформированные      	WORKING                 	Показ информации  об    	Output                  	Прием документов  в     	Input                   	
абитуриенты             	                        	универе                 	                        	онлайн формате          	                        	

Работа требующая        	WORKING                 	Проверка  лабораторной  	Output                  	Исправление ошибок      	Input                   	
исправлений             	                        	работы                  	                        	                        	                        	

Рабочая программа       	WORKING                 	{ Border }              	Control                 	Просмотр видеоуроков и  	Control                 	
                        	                        	                        	                        	записей лекций          	                        	

                        	                        	                        	                        	Учет посещаемости       	Control                 	
                        	                        	                        	                        	студентов в журнале     	                        	

                        	                        	                        	                        	Рассказ материала       	Control                 	
                        	                        	                        	                        	студентам               	                        	

                        	                        	                        	                        	Открытие  теста на сайте	Control                 	

                        	                        	                        	                        	Размещение методички на 	Control                 	
                        	                        	                        	                        	сайте                   	                        	

                        	                        	                        	                        	Выполнение теста        	Control                 	

                        	                        	                        	                        	Выполнение  лабораторной	Control                 	
                        	                        	                        	                        	работы                  	                        	

                        	                        	                        	                        	Проверка  лабораторной  	Control                 	
                        	                        	                        	                        	работы                  	                        	

                        	                        	                        	                        	Автоматическая  проверка	Control                 	
                        	                        	                        	                        	теста  сайтом           	                        	

                        	                        	                        	                        	Исправление ошибок      	Control                 	

Сайт                    	WORKING                 	{ Border }              	Mechanism               	Заполнение сайта        	Mechanism               	
                        	                        	                        	                        	информацией для         	                        	
                        	                        	                        	                        	абитуриентов            	                        	

                        	                        	                        	                        	Формирование списка     	Mechanism               	
                        	                        	                        	                        	поступивших  и          	                        	
                        	                        	                        	                        	отображение его на сайте	                        	

                        	                        	                        	                        	Просмотр видеоуроков и  	Mechanism               	
                        	                        	                        	                        	записей лекций          	                        	

                        	                        	                        	                        	Показ информации  об    	Mechanism               	
                        	                        	                        	                        	универе                 	                        	

                        	                        	                        	                        	Прием документов  в     	Mechanism               	
                        	                        	                        	                        	онлайн формате          	                        	

                        	                        	                        	                        	Формирование  записи в  	Mechanism               	
                        	                        	                        	                        	БД                      	                        	

                        	                        	                        	                        	Размещение записей      	Mechanism               	
                        	                        	                        	                        	лекций на сайте         	                        	

                        	                        	                        	                        	Открытие  теста на сайте	Mechanism               	

                        	                        	                        	                        	Размещение методички на 	Mechanism               	
                        	                        	                        	                        	сайте                   	                        	

                        	                        	                        	                        	Выполнение теста        	Mechanism               	

                        	                        	                        	                        	Размещение отчета на    	Mechanism               	
                        	                        	                        	                        	сайте                   	                        	

                        	                        	                        	                        	Автоматическая  проверка	Mechanism               	
                        	                        	                        	                        	теста  сайтом           	                        	

Сдавшие экзамены        	WORKING                 	                        	                        	Выпуск и трудоустройство	Input                   	
студенты                	                        	                        	                        	                        	                        	

Сдавший со снижением    	WORKING                 	Повторный ответ         	Output                  	Студент ответивший      	Input                   	
студент                 	                        	                        	                        	экзамен                 	                        	

Студент выучивший теорию	WORKING                 	Ответ экзамена          	Output                  	Ответ  теоретической    	Input                   	
                        	                        	                        	                        	части                   	                        	

Студент набрал баллов   	WORKING                 	Набрал ли студент       	Output                  	Проставление автомата   	Input                   	
для автомата            	                        	достаточно баллов       	                        	студенту                	                        	

Студент не набрал баллов	WORKING                 	Набрал ли студент       	Output                  	Выдача студенту         	Input                   	
                        	                        	достаточно баллов       	                        	экзаменационного билета 	                        	

Студент ответивший с    	WORKING                 	Правильно ли ответил    	Output                  	Переподготовка студента 	Input                   	
ошибками                	                        	                        	                        	                        	                        	

Студент ответивший      	WORKING                 	Ответ  теоретической    	Output                  	Оценка ответа           	Input                   	
теорию                  	                        	части                   	                        	                        	                        	

Студент прошедший       	WORKING                 	Проставление  оценки в  	Output                  	Студент после экзамена  	Input                   	
экзамен                 	                        	зачетку                 	                        	                        	                        	

Студент с автоматом     	WORKING                 	Проставление автомата   	Output                  	Студент после экзамена  	Input                   	
                        	                        	студенту                	                        	                        	                        	

Студент с оценкой       	WORKING                 	Студент после экзамена  	Output                  	Проставление  оценок в  	Input                   	
                        	                        	                        	                        	ведомость               	                        	

Студент сдавший без     	WORKING                 	Правильно ли ответил    	Output                  	Студент ответивший      	Input                   	
снижения                	                        	                        	                        	экзамен                 	                        	

Студент сдавший экзамен 	WORKING                 	Студент ответивший      	Output                  	Проставление  оценки в  	Input                   	
                        	                        	экзамен                 	                        	зачетку                 	                        	

Студенты                	WORKING                 	Формирование списка     	Output                  	Учет посещаемости       	Input                   	
                        	                        	поступивших  и          	                        	студентов в журнале     	                        	
                        	                        	отображение его на сайте	                        	                        	                        	

                        	                        	                        	                        	Выполнение теста        	Mechanism               	

                        	                        	                        	                        	Выполнение  лабораторной	Mechanism               	
                        	                        	                        	                        	работы                  	                        	

                        	                        	                        	                        	Исправление ошибок      	Mechanism               	

Студенты не сдавшие     	WORKING                 	Проверка  лабораторной  	Output                  	Просмотр видеоуроков и  	Input                   	
задания                 	                        	работы                  	                        	записей лекций          	                        	

                        	                        	Автоматическая  проверка	Output                  	                        	                        	
                        	                        	теста  сайтом           	                        	                        	                        	

Студенты повторившие    	WORKING                 	Просмотр видеоуроков и  	Output                  	Размещение методички на 	Input                   	
материал                	                        	записей лекций          	                        	сайте                   	                        	

                        	                        	                        	                        	Открытие  теста на сайте	Input                   	

Студенты посещающие     	WORKING                 	Учет посещаемости       	Output                  	Рассказ материала       	Input                   	
лекции                  	                        	студентов в журнале     	                        	студентам               	                        	

Студенты с методичкой   	WORKING                 	Размещение методички на 	Output                  	Выполнение  лабораторной	Input                   	
                        	                        	сайте                   	                        	работы                  	                        	

Студенты с тестом       	WORKING                 	Открытие  теста на сайте	Output                  	Выполнение теста        	Input                   	

Студенты сдавшие задания	WORKING                 	Проверка  лабораторной  	Output                  	                        	                        	
                        	                        	работы                  	                        	                        	                        	

                        	                        	Автоматическая  проверка	Output                  	                        	                        	
                        	                        	теста  сайтом           	                        	                        	                        	

Установленная дата      	WORKING                 	Установка даты и        	Output                  	Начало экзамена         	Input                   	
                        	                        	времени проведения      	                        	                        	                        	

ФГОС                    	WORKING                 	{ Border }              	Control                 	Выпуск и трудоустройство	Control                 	

                        	                        	                        	                        	Заполнение сайта        	Control                 	
                        	                        	                        	                        	информацией для         	                        	
                        	                        	                        	                        	абитуриентов            	                        	

                        	                        	                        	                        	Формирование списка     	Control                 	
                        	                        	                        	                        	поступивших  и          	                        	
                        	                        	                        	                        	отображение его на сайте	                        	

                        	                        	                        	                        	Показ информации  об    	Control                 	
                        	                        	                        	                        	универе                 	                        	

                        	                        	                        	                        	Прием документов  в     	Control                 	
                        	                        	                        	                        	онлайн формате          	                        	

                        	                        	                        	                        	Формирование  записи в  	Control                 	
                        	                        	                        	                        	БД                      	                        	

                        	                        	                        	                        	Подготовка материалов   	Control                 	
                        	                        	                        	                        	для лекции              	                        	

                        	                        	                        	                        	Учет посещаемости       	Control                 	
                        	                        	                        	                        	студентов в журнале     	                        	

                        	                        	                        	                        	Открытие  теста на сайте	Control                 	

                        	                        	                        	                        	Размещение методички на 	Control                 	
                        	                        	                        	                        	сайте                   	                        	

                        	                        	                        	                        	Размещение отчета на    	Control                 	
                        	                        	                        	                        	сайте                   	                        	

Экзаменационный билет   	WORKING                 	Выдача студенту         	Output                  	Выполнение  студентом   	Input                   	
                        	                        	экзаменационного билета 	                        	работы                  	                        	

Экстерны                	WORKING                 	                        	                        	Выпуск и трудоустройство	Input                   	

